trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.8, 'e': 0.9119999999999999}",25,0,-159.55580459627433,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
45,False,"{'a': 0.8, 'e': 0.9099999999999999}",25,0,-232.27621825817633,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
46,False,"{'a': 0.8, 'e': 0.9079999999999999}",20,0,-156.96181623793214,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
47,False,"{'a': 0.8, 'e': 0.9059999999999999}",30,0,-106.2338485462675,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.8, 'e': 0.9039999999999999}",20,4,-20.16516461440693,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.8, 'e': 0.9019999999999999}",30,0,-145.1525328376507,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
50,False,"{'a': 0.8, 'e': 0.8999999999999999}",25,0,-92.54860705650044,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.8979999999999999}",20,7,-47.21941039417199,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.8, 'e': 0.8959999999999999}",25,0,-166.48180587728382,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
53,False,"{'a': 0.8, 'e': 0.8939999999999999}",20,0,-93.02281626583817,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
54,False,"{'a': 0.8, 'e': 0.8919999999999999}",20,0,-134.00724288012046,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
55,False,"{'a': 0.8, 'e': 0.8899999999999999}",20,0,-44.798798670766345,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.8879999999999999}",25,0,-65.9180332118899,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.8859999999999999}",25,0,-166.58949684151705,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
58,False,"{'a': 0.8, 'e': 0.8839999999999999}",25,0,-49.16270114189265,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.8819999999999999}",30,0,-104.5449958363304,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.8799999999999999}",20,0,-103.86253482259747,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.8, 'e': 0.8779999999999999}",35,2,-149.9978320856877,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 4}",1
62,False,"{'a': 0.8, 'e': 0.8759999999999999}",25,0,-99.3001687203831,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.8, 'e': 0.8739999999999999}",25,0,-210.12084635313477,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
64,False,"{'a': 0.8, 'e': 0.8719999999999999}",20,0,-120.1671510415515,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.8, 'e': 0.8699999999999999}",20,0,-20.62651995258105,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
